country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_farm,abs_reason_market,abs_reason_travelled,abs_reason_in_playground,abs_reason_school,abs_reason_other,nc_reason_no_felt_need,nc_reason_no_care_giver_consent,nc_reason_covid_19,nc_reason_others,nc_reason_vaccines_safety,nc_reason_child_sick,nc_reason_religious_cultural,nc_reason_too_many_rnd,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
GUI,BOKE,BOFFA,CONAKRY-mOPV,mOPV,Rnd1,21,2021-02-27T00:00:00Z,2021-03-03,2021-04-03,23,37,60,0,0,0,60,Fail,very poor,0,1,8,0,0,0,51,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,13.33,0,0,0,85,1
GUI,BOKE,BOFFA,CONAKRY-mOPV,mOPV,Rnd2,21,2021-08-02T00:00:00Z,2021-08-06,2021-09-06,28,32,60,0,0,0,60,Fail,very poor,0,1,2,0,0,0,57,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,3.33,0,0,0,95,1
GUI,BOKE,BOFFA,GUI-2023-09-01_nOPV,nOPV2,Rnd1,21,2023-10-27T00:00:00Z,2023-10-31,2023-11-01,40,20,60,0,0,0,60,Fail,very poor,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1
GUI,BOKE,BOFFA,GUI-2023-09-01_nOPV,nOPV2,Rnd2,21,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,33,27,60,0,0,0,60,Fail,very poor,0,0,1,0,0,0,59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,0,0,0,98.33,1
GUI,BOKE,BOFFA,GUI-2024-10-NID_nOPV,nOPV2,Rnd1,20,2024-11-28T00:00:00Z,2024-12-02,2024-12-03,29,31,60,0,0,0,60,Fail,very poor,0,0,1,0,0,0,59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,0,0,0,98.33,1
GUI,BOKE,BOFFA,GUI-2025-01-NID_bOPV-nOPV,nOPV2,Rnd1,9,2025-02-21T00:00:00Z,2025-02-25,2025-02-26,27,33,60,27,32,59,1,Pass,high,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
GUI,BOKE,BOFFA,GUI-2025-01-NID_bOPV-nOPV,nOPV2,Rnd2,9,2025-05-08T00:00:00Z,2025-05-12,2025-05-13,34,26,60,34,25,59,1,Pass,high,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0.02
GUI,BOKE,BOFFA,bOPV,bOPV,Rnd1,21,2021-10-24T00:00:00Z,2021-10-28,2021-10-30,27,33,60,0,0,0,60,Fail,very poor,0,1,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,0,0,0,0,98.33,1
GUI,BOKE,BOKE,CONAKRY-mOPV,mOPV,Rnd1,15,2021-02-27T00:00:00Z,2021-03-03,2021-04-03,30,20,50,0,0,0,60,Fail,very poor,1,2,4,0,0,4,49,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,1.67,3.33,6.67,0,0,6.67,81.67,1.2
GUI,BOKE,BOKE,CONAKRY-mOPV,mOPV,Rnd2,6,2021-08-02T00:00:00Z,2021-08-06,2021-10-06,24,36,60,0,0,0,60,Fail,very poor,0,3,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,95,1
